,IdSell,Suburb,Address,Postcode,Lattitude,Longtitude,Distance,CouncilArea,Regionname,Propertycount
0,0961538,Abbotsford,85 Turner St,3067.0,-37.7996,144.9984,2.5,Yarra,Northern Metropolitan,4019.0
1,0639558,Abbotsford,25 Bloomburg St,3067.0,-37.8079,144.9934,2.5,Yarra,Northern Metropolitan,4019.0
2,0064332,Abbotsford,5 Charles St,3067.0,-37.8093,144.9944,2.5,Yarra,Northern Metropolitan,4019.0
3,0173813,Abbotsford,40 Federation La,3067.0,-37.7969,144.9969,2.5,Yarra,Northern Metropolitan,4019.0
4,0868764,Abbotsford,55a Park St,3067.0,-37.8072,144.9941,2.5,Yarra,Northern Metropolitan,4019.0
5,0526840,Abbotsford,129 Charles St,3067.0,-37.8041,144.9953,2.5,Yarra,Northern Metropolitan,4019.0
6,0286927,Abbotsford,124 Yarra St,3067.0,-37.8024,144.9993,2.5,Yarra,Northern Metropolitan,4019.0
7,0127792,Abbotsford,98 Charles St,3067.0,-37.806,144.9954,2.5,Yarra,Northern Metropolitan,4019.0
8,0427493,Abbotsford,6/241 Nicholson St,3067.0,-37.8008,144.9973,2.5,Yarra,Northern Metropolitan,4019.0
9,0895079,Abbotsford,10 Valiant St,3067.0,-37.801,144.9989,2.5,Yarra,Northern Metropolitan,4019.0
10,0548228,Abbotsford,411/8 Grosvenor St,3067.0,-37.811,145.0067,2.5,Yarra,Northern Metropolitan,4019.0
11,0415724,Abbotsford,40 Nicholson St,3067.0,-37.8085,144.9964,2.5,Yarra,Northern Metropolitan,4019.0
12,0794888,Abbotsford,123/56 Nicholson St,3067.0,-37.8078,144.9965,2.5,Yarra,Northern Metropolitan,4019.0
13,0871658,Abbotsford,45 William St,3067.0,-37.8084,144.9973,2.5,Yarra,Northern Metropolitan,4019.0
14,0522165,Abbotsford,7/20 Abbotsford St,3067.0,-37.8016,144.9988,2.5,Yarra,Northern Metropolitan,4019.0
15,0711165,Abbotsford,16 William St,3067.0,-37.809,144.9976,2.5,Yarra,Northern Metropolitan,4019.0
